date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:50%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/files/5bdac9747a606.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/files/5bdac9747a606.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:54%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/files/5bdac9747a606.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/files/5bdac9747a606.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:07	105068/105068	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:40:53%20GMT	https://web.archive.org/web/20190301110925im_/https://tankisport.com/files/5bdac9747a606.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110925im_/https_/tankisport.com/files/5bdac9747a606.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:08	105068/105068	---M--	200	added ('OK')	image/jpeg	date:Fri,%2021%20Jun%202024%2014:40:54%20GMT	https://web.archive.org/web/20190301110925/https://tankisport.com/files/5bdac9747a606.jpg	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110925/https_/tankisport.com/files/5bdac9747a606.jpg	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:11	141010/141010	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:40:58%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/74	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/74	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:40:59%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5bd6b55943748.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5bd6b55943748.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:13	368558/368558	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:40:59%20GMT	https://web.archive.org/web/20190301110925im_/https://tankisport.com/photos/5bd6b55943748.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110925im_/https_/tankisport.com/photos/5bd6b55943748.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:14	141010/141010	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:01%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/73	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/73	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:02%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5bd43a547be05.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5bd43a547be05.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:17	363793/363793	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:41:03%20GMT	https://web.archive.org/web/20190301110928im_/https://tankisport.com/photos/5bd43a547be05.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110928im_/https_/tankisport.com/photos/5bd43a547be05.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:17	141011/141011	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:04%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/72	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/72	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:18	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:05%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5bd159252b4da.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5bd159252b4da.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:21	366791/366791	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:41:07%20GMT	https://web.archive.org/web/20190301110924im_/https://tankisport.com/photos/5bd159252b4da.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110924im_/https_/tankisport.com/photos/5bd159252b4da.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:21	141011/141011	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Fri,%2021%20Jun%202024%2014:41:08%20GMT	https://web.archive.org/web/20190228222916/https://tankisport.com/article/71	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916/https_/tankisport.com/article/71	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:22	0/0	---M--	302	error ('FOUND')	text/plain	date:Fri,%2021%20Jun%202024%2014:41:09%20GMT	https://web.archive.org/web/20190228222916im_/https://tankisport.com/photos/5bceccc3248fd.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190228222916im_/https_/tankisport.com/photos/5bceccc3248fd.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
16:41:24	361920/361920	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Jun%202024%2014:41:10%20GMT	https://web.archive.org/web/20190301110928im_/https://tankisport.com/photos/5bceccc3248fd.png	C:/Users/Tomek/Desktop/TEST/https___web.archive.org_web_20190228222916_https___tankisport.com_/web.archive.org/web/20190301110928im_/https_/tankisport.com/photos/5bceccc3248fd.png	(from https://web.archive.org/web/20190228222916/https://tankisport.com/)
